benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
pointer_chase,baseline,65536,0,1x32,58.335,0.068569,70.39,95.90,2152,45.64,LCG permutation
pointer_chase,baseline,131072,0,1x32,68.289,0.058575,70.22,91.81,4200,53.11,LCG permutation
pointer_chase,baseline,262144,0,1x32,158.487,0.025239,92.58,25.88,8320,79.84,LCG permutation
pointer_chase,baseline,524288,0,1x32,197.374,0.020266,87.48,10.38,16640,83.61,LCG permutation
pointer_chase,baseline,1048576,0,1x32,241.336,0.016574,81.27,4.54,31764,86.36,LCG permutation
pointer_chase,baseline,2097152,0,1x32,295.064,0.013556,66.92,2.11,53620,88.65,LCG permutation
pointer_chase,baseline,4194304,0,1x32,341.688,0.011707,43.01,0.95,71364,90.08,LCG permutation
pointer_chase,baseline,8388608,0,1x32,373.469,0.010710,26.24,0.42,84152,90.87,LCG permutation
pointer_chase,baseline,16777216,0,1x32,392.004,0.010204,15.25,0.20,91656,91.28,LCG permutation
pointer_chase,baseline,33554432,0,1x32,401.928,0.009952,9.20,0.10,95684,91.48,LCG permutation
pointer_chase,baseline,67108864,0,1x32,411.091,0.009730,5.59,0.04,97920,91.65,LCG permutation
pointer_chase,baseline,134217728,0,1x32,415.314,0.009631,3.23,0.01,99060,91.74,LCG permutation
pointer_chase,baseline,268435456,0,1x32,417.440,0.009582,2.55,0.00,99616,91.78,LCG permutation
