benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,hot_frac,hot_prob,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
gather,baseline,65536,0,1x32,1.0,0.9,110.494,0.072402,70.06,91.70,8396,64.32,indices_len=iters
gather,baseline,131072,0,1x32,1.0,0.9,122.069,0.065537,73.24,89.13,10444,67.48,indices_len=iters
gather,baseline,262144,0,1x32,1.0,0.9,209.867,0.038119,88.36,57.08,14540,81.20,indices_len=iters
gather,baseline,524288,0,1x32,1.0,0.9,249.725,0.032035,85.32,48.87,22696,84.07,indices_len=iters
gather,baseline,1048576,0,1x32,1.0,0.9,292.966,0.027307,78.32,45.93,39024,86.23,indices_len=iters
gather,baseline,2097152,0,1x32,1.0,0.9,344.789,0.023203,67.47,44.70,58388,88.14,indices_len=iters
gather,baseline,4194304,0,1x32,1.0,0.9,390.898,0.020466,46.46,44.18,77120,89.42,indices_len=iters
gather,baseline,8388608,0,1x32,1.0,0.9,423.862,0.018874,31.00,43.96,89480,90.18,indices_len=iters
gather,baseline,16777216,0,1x32,1.0,0.9,443.273,0.018048,20.85,43.85,97600,90.57,indices_len=iters
gather,baseline,33554432,0,1x32,1.0,0.9,454.324,0.017609,14.59,43.80,101776,90.79,indices_len=iters
gather,baseline,67108864,0,1x32,1.0,0.9,463.254,0.017269,11.19,43.77,104044,90.98,indices_len=iters
gather,baseline,134217728,0,1x32,1.0,0.9,468.136,0.017089,10.95,43.76,105252,91.05,indices_len=iters
gather,baseline,268435456,0,1x32,1.0,0.9,469.529,0.017038,9.39,43.76,105876,91.10,indices_len=iters
gather,baseline,65536,0,1x32,0.1,0.9,110.256,0.072558,78.25,91.85,8400,64.19,indices_len=iters
gather,baseline,131072,0,1x32,0.1,0.9,118.399,0.067568,69.01,90.22,10132,66.56,indices_len=iters
gather,baseline,262144,0,1x32,0.1,0.9,127.259,0.062864,63.76,88.89,12424,68.68,indices_len=iters
gather,baseline,524288,0,1x32,0.1,0.9,136.118,0.058772,59.50,87.65,14800,70.60,indices_len=iters
gather,baseline,1048576,0,1x32,0.1,0.9,155.279,0.051520,62.35,82.40,17444,74.25,indices_len=iters
gather,baseline,2097152,0,1x32,0.1,0.9,222.958,0.035881,77.74,58.50,21324,82.15,indices_len=iters
gather,baseline,4194304,0,1x32,0.1,0.9,261.956,0.030540,79.60,49.50,28204,84.70,indices_len=iters
gather,baseline,8388608,0,1x32,0.1,0.9,300.003,0.026666,71.15,46.13,40640,86.51,indices_len=iters
gather,baseline,16777216,0,1x32,0.1,0.9,346.464,0.023090,61.64,44.78,58432,88.18,indices_len=iters
gather,baseline,33554432,0,1x32,0.1,0.9,391.008,0.020460,45.39,44.19,76220,89.42,indices_len=iters
gather,baseline,67108864,0,1x32,0.1,0.9,423.567,0.018887,34.05,43.95,91292,90.17,indices_len=iters
gather,baseline,134217728,0,1x32,0.1,0.9,443.015,0.018058,25.75,43.87,97548,90.58,indices_len=iters
gather,baseline,268435456,0,1x32,0.1,0.9,454.722,0.017593,14.91,43.79,101580,90.80,indices_len=iters
