benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,65536,16,1x32,76.808,0.052078,67.64,95.90,2668,34.85,
stride,baseline,65536,32,1x32,76.722,0.052136,81.64,95.90,2148,34.62,
stride,baseline,65536,64,1x32,76.788,0.052092,70.43,95.90,2148,34.86,
stride,baseline,65536,128,1x32,76.747,0.052119,84.83,95.90,2228,34.78,
stride,baseline,65536,256,1x32,77.431,0.051659,70.36,95.90,2148,34.67,
stride,baseline,65536,512,1x32,76.845,0.052053,70.41,95.90,2148,34.60,
stride,baseline,65536,1024,1x32,76.931,0.051995,70.35,95.90,2148,34.55,
stride,baseline,65536,2048,1x32,76.710,0.052145,70.39,95.90,2148,34.51,
stride,baseline,65536,4096,1x32,76.952,0.051981,73.88,95.90,2148,34.63,
stride,baseline,65536,8192,1x32,76.886,0.052025,75.36,95.90,2148,34.56,
stride,baseline,131072,16,1x32,86.827,0.046069,72.35,91.81,4196,42.03,
stride,baseline,131072,32,1x32,86.712,0.046130,74.51,91.81,4196,41.64,
stride,baseline,131072,64,1x32,86.823,0.046071,71.21,91.81,4196,42.06,
stride,baseline,131072,128,1x32,86.737,0.046116,73.76,91.81,4196,41.98,
stride,baseline,131072,256,1x32,86.721,0.046125,74.50,91.81,4196,41.83,
stride,baseline,131072,512,1x32,86.897,0.046032,70.23,91.81,4196,41.68,
stride,baseline,131072,1024,1x32,86.991,0.045982,70.20,91.81,4196,41.60,
stride,baseline,131072,2048,1x32,86.618,0.046180,75.26,91.81,4196,41.56,
stride,baseline,131072,4096,1x32,86.929,0.046014,70.24,91.81,4196,41.60,
stride,baseline,131072,8192,1x32,87.093,0.045928,74.16,91.81,4196,41.56,
stride,baseline,262144,16,1x32,147.579,0.027104,88.54,50.00,8292,65.86,
stride,baseline,262144,32,1x32,207.983,0.019232,94.12,0.00,8292,75.75,
stride,baseline,262144,64,1x32,208.331,0.019200,94.06,0.00,8292,75.87,
stride,baseline,262144,128,1x32,208.261,0.019207,93.78,0.00,9276,75.84,
stride,baseline,262144,256,1x32,137.851,0.029017,87.53,57.34,8064,63.18,
stride,baseline,262144,512,1x32,100.700,0.039722,67.28,86.69,7268,49.20,
stride,baseline,262144,1024,1x32,98.771,0.040498,68.14,87.20,6752,48.32,
stride,baseline,262144,2048,1x32,97.501,0.041025,68.48,87.46,6500,47.63,
stride,baseline,262144,4096,1x32,97.186,0.041158,69.54,87.46,6372,47.68,
stride,baseline,262144,8192,1x32,97.718,0.040934,70.14,87.46,6372,47.64,
stride,baseline,524288,16,1x32,167.576,0.023870,79.60,50.00,16484,69.59,
stride,baseline,524288,32,1x32,227.717,0.017566,88.78,0.00,16484,77.60,
stride,baseline,524288,64,1x32,228.495,0.017506,89.31,0.00,16488,77.82,
stride,baseline,524288,128,1x32,208.437,0.019190,88.78,0.00,8304,75.79,
stride,baseline,524288,256,1x32,208.589,0.019176,94.12,0.00,8292,75.74,
stride,baseline,524288,512,1x32,138.056,0.028974,86.71,57.34,7944,63.12,
stride,baseline,524288,1024,1x32,100.532,0.039788,71.70,86.69,7268,49.21,
stride,baseline,524288,2048,1x32,98.382,0.040658,67.81,87.20,6756,48.10,
stride,baseline,524288,4096,1x32,97.391,0.041072,68.47,87.46,6500,47.67,
stride,baseline,524288,8192,1x32,97.473,0.041037,69.56,87.46,6372,47.58,
stride,baseline,1048576,16,1x32,188.699,0.021198,70.26,50.00,25104,72.79,
stride,baseline,1048576,32,1x32,267.248,0.014967,79.87,0.00,34896,80.62,
stride,baseline,1048576,64,1x32,268.632,0.014890,79.12,0.00,33716,80.93,
stride,baseline,1048576,128,1x32,228.454,0.017509,77.65,0.00,16484,77.73,
stride,baseline,1048576,256,1x32,208.679,0.019168,88.17,0.00,8360,75.74,
stride,baseline,1048576,512,1x32,208.839,0.019154,94.13,0.00,8292,75.75,
stride,baseline,1048576,1024,1x32,137.761,0.029036,87.04,57.34,7944,63.14,
stride,baseline,1048576,2048,1x32,100.413,0.039835,63.93,86.69,7268,49.05,
stride,baseline,1048576,4096,1x32,98.619,0.040560,77.69,87.20,6840,48.22,
stride,baseline,1048576,8192,1x32,97.886,0.040864,72.35,87.46,6500,47.70,
stride,baseline,4194304,16,1x32,188.678,0.021200,70.65,50.00,25100,72.81,
stride,baseline,4194304,32,1x32,308.621,0.012961,72.66,0.00,50112,83.05,
stride,baseline,4194304,64,1x32,432.669,0.009245,50.66,0.00,100100,87.90,
stride,baseline,4194304,128,1x32,347.800,0.011501,27.57,0.00,65708,84.95,
stride,baseline,4194304,256,1x32,268.009,0.014925,58.07,0.00,32868,80.63,
stride,baseline,4194304,512,1x32,228.762,0.017485,77.70,0.00,16484,77.64,
stride,baseline,4194304,1024,1x32,208.593,0.019176,89.01,0.00,8296,75.74,
stride,baseline,4194304,2048,1x32,208.593,0.019176,94.02,0.00,8292,75.72,
stride,baseline,4194304,4096,1x32,137.638,0.029062,86.92,57.34,7944,63.07,
stride,baseline,4194304,8192,1x32,100.430,0.039829,63.94,86.69,7268,49.10,
stride,baseline,16777216,16,1x32,188.649,0.021203,70.08,50.00,25104,72.80,
stride,baseline,16777216,32,1x32,308.630,0.012961,70.50,0.00,50100,83.06,
stride,baseline,16777216,64,1x32,432.697,0.009244,53.68,0.00,101644,87.90,
stride,baseline,16777216,128,1x32,431.563,0.009269,2.55,0.00,100100,87.73,
stride,baseline,16777216,256,1x32,430.993,0.009281,1.37,0.00,100100,87.51,
stride,baseline,16777216,512,1x32,348.402,0.011481,34.50,0.00,65652,84.70,
stride,baseline,16777216,1024,1x32,268.493,0.014898,58.29,0.00,32868,80.59,
stride,baseline,16777216,2048,1x32,228.405,0.017513,77.65,0.00,16484,77.57,
stride,baseline,16777216,4096,1x32,208.278,0.019205,88.34,0.00,8292,75.74,
stride,baseline,16777216,8192,1x32,208.650,0.019171,94.12,0.00,8292,75.72,
stride,baseline,67108864,16,1x32,188.654,0.021203,70.86,50.00,25108,72.81,
stride,baseline,67108864,32,1x32,308.638,0.012960,70.64,0.00,50192,83.05,
stride,baseline,67108864,64,1x32,432.689,0.009245,50.75,0.00,100956,87.90,
stride,baseline,67108864,128,1x32,431.505,0.009270,2.81,0.00,100104,87.73,
stride,baseline,67108864,256,1x32,431.010,0.009281,1.98,0.00,100104,87.52,
stride,baseline,67108864,512,1x32,432.407,0.009251,1.53,0.00,100108,87.48,
stride,baseline,67108864,1024,1x32,432.017,0.009259,8.55,0.00,102144,87.44,
stride,baseline,67108864,2048,1x32,347.779,0.011502,27.60,0.00,65652,84.56,
stride,baseline,67108864,4096,1x32,267.239,0.014968,59.17,0.00,32884,80.56,
stride,baseline,67108864,8192,1x32,228.839,0.017480,81.33,0.00,18496,77.57,
stride,baseline,268435456,16,1x32,188.641,0.021204,71.20,50.00,25108,72.80,
stride,baseline,268435456,32,1x32,308.630,0.012961,71.42,0.00,52044,83.05,
stride,baseline,268435456,64,1x32,432.726,0.009244,50.65,0.00,100112,87.90,
stride,baseline,268435456,128,1x32,431.485,0.009270,1.73,0.00,100104,87.73,
stride,baseline,268435456,256,1x32,431.014,0.009280,2.23,0.00,100104,87.51,
stride,baseline,268435456,512,1x32,432.357,0.009252,1.37,0.00,100104,87.48,
stride,baseline,268435456,1024,1x32,432.022,0.009259,1.60,0.00,100120,87.44,
stride,baseline,268435456,2048,1x32,431.395,0.009272,6.27,0.00,100804,87.33,
stride,baseline,268435456,4096,1x32,428.851,0.009327,1.84,0.00,100220,87.40,
stride,baseline,268435456,8192,1x32,349.344,0.011450,27.08,0.00,65700,84.60,
