benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
pointer_chase,baseline,65536,0,1x32,58.323,0.068584,33.33,95.90,4052,45.62,LCG permutation
pointer_chase,baseline,131072,0,1x32,68.293,0.058571,33.33,91.81,4192,53.07,LCG permutation
pointer_chase,baseline,262144,0,1x32,158.396,0.025253,80.06,26.04,8288,79.82,LCG permutation
pointer_chase,baseline,524288,0,1x32,197.210,0.020283,69.08,10.41,16548,83.60,LCG permutation
pointer_chase,baseline,1048576,0,1x32,241.365,0.016572,50.20,4.61,31720,86.37,LCG permutation
pointer_chase,baseline,2097152,0,1x32,295.006,0.013559,30.16,2.11,54928,88.66,LCG permutation
pointer_chase,baseline,4194304,0,1x32,341.570,0.011711,16.36,0.95,71364,90.09,LCG permutation
pointer_chase,baseline,8388608,0,1x32,373.506,0.010709,8.45,0.43,84156,90.87,LCG permutation
pointer_chase,baseline,16777216,0,1x32,392.049,0.010203,4.31,0.20,91648,91.28,LCG permutation
pointer_chase,baseline,33554432,0,1x32,401.908,0.009953,2.21,0.10,95668,91.48,LCG permutation
pointer_chase,baseline,67108864,0,1x32,411.140,0.009729,1.08,0.04,97928,91.65,LCG permutation
pointer_chase,baseline,134217728,0,1x32,415.310,0.009631,0.53,0.01,99264,91.74,LCG permutation
pointer_chase,baseline,268435456,0,1x32,417.493,0.009581,0.27,0.01,99560,91.78,LCG permutation
