benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
dep_stride,stride,17179869184,4096,200000,1x32,410.109,0.009754,0.00,0.00,400892,91.97,
dep_stride,stride,17179869184,8192,200000,1x32,412.223,0.009703,0.00,0.00,401344,91.94,
dep_stride,stride,17179869184,16384,200000,1x32,410.126,0.009753,0.00,0.00,401524,92.03,
dep_stride,stride,17179869184,32768,200000,1x32,411.933,0.009710,0.00,0.00,404000,92.07,
dep_stride,stride,17179869184,65536,200000,1x32,412.609,0.009694,0.00,0.00,400824,92.05,
dep_stride,stride,17179869184,131072,200000,1x32,349.259,0.011453,12.31,0.00,276892,90.66,
dep_stride,stride,17179869184,262144,200000,1x32,250.819,0.015948,49.14,0.00,131268,87.49,
dep_stride,stride,17179869184,1048576,200000,1x32,192.130,0.020819,84.86,0.00,34588,84.17,
dep_stride,stride,17179869184,4194304,200000,1x32,194.777,0.020536,85.46,0.00,33912,84.40,
