benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,hot_frac,hot_prob,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
gather,baseline,268435456,0,200000,1x32,1.0,0.9,466.058,0.017165,3.84,43.76,417904,91.03,indices_len=iters
gather,baseline,1073741824,0,200000,1x32,1.0,0.9,470.654,0.016998,3.10,43.75,423812,91.11,indices_len=iters
gather,baseline,4294967296,0,200000,1x32,1.0,0.9,471.890,0.016953,2.92,43.75,425408,91.14,indices_len=iters
gather,baseline,268435456,0,200000,1x32,0.1,0.9,424.643,0.018839,11.50,43.80,357368,90.21,indices_len=iters
gather,baseline,1073741824,0,200000,1x32,0.1,0.9,459.569,0.017408,4.97,43.76,409984,90.91,indices_len=iters
gather,baseline,4294967296,0,200000,1x32,0.1,0.9,469.308,0.017046,3.37,43.75,423184,91.09,indices_len=iters
