benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,65536,16,1x32,76.792,0.052089,70.53,95.90,2148,34.85,
stride,baseline,65536,32,1x32,76.730,0.052131,70.40,95.90,2148,34.61,
stride,baseline,65536,64,1x32,74.273,0.053856,52.66,97.95,2148,32.69,
stride,baseline,65536,128,1x32,70.525,0.056718,54.45,98.98,1124,29.25,
stride,baseline,65536,256,1x32,68.657,0.058261,39.08,99.49,612,27.42,
stride,baseline,65536,512,1x32,67.740,0.059050,38.79,99.74,356,26.48,
stride,baseline,65536,1024,1x32,67.260,0.059470,51.16,99.87,228,26.00,
stride,baseline,65536,2048,1x32,67.011,0.059692,60.87,99.94,164,25.77,
stride,baseline,65536,4096,1x32,66.912,0.059780,67.67,99.97,132,25.65,
stride,baseline,65536,8192,1x32,66.851,0.059835,93.41,99.98,116,25.59,
stride,baseline,131072,16,1x32,86.827,0.046069,71.20,91.81,4196,42.00,
stride,baseline,131072,32,1x32,86.696,0.046138,70.92,91.81,4196,41.65,
stride,baseline,131072,64,1x32,81.809,0.048894,52.03,95.90,4260,38.56,
stride,baseline,131072,128,1x32,74.252,0.053870,8.71,97.95,2148,32.61,
stride,baseline,131072,256,1x32,70.509,0.056731,15.86,98.98,1124,29.18,
stride,baseline,131072,512,1x32,68.690,0.058233,26.57,99.49,608,27.37,
stride,baseline,131072,1024,1x32,67.731,0.059057,83.18,99.74,356,26.47,
stride,baseline,131072,2048,1x32,67.260,0.059470,87.78,99.87,228,26.00,
stride,baseline,131072,4096,1x32,67.023,0.059681,97.82,99.94,180,25.77,
stride,baseline,131072,8192,1x32,66.904,0.059787,67.25,99.97,132,25.66,
stride,baseline,262144,16,1x32,147.571,0.027106,88.90,50.00,8292,65.85,
stride,baseline,262144,32,1x32,207.987,0.019232,94.05,0.00,8308,75.75,
stride,baseline,262144,64,1x32,208.323,0.019201,94.50,0.00,8300,75.87,
stride,baseline,262144,128,1x32,198.316,0.020170,93.93,0.00,4196,74.73,
stride,baseline,262144,256,1x32,74.301,0.053835,17.69,97.95,2148,32.45,
stride,baseline,262144,512,1x32,70.566,0.056685,35.71,98.98,1128,29.13,
stride,baseline,262144,1024,1x32,68.678,0.058243,26.64,99.49,612,27.38,
stride,baseline,262144,2048,1x32,67.731,0.059057,39.55,99.74,356,26.46,
stride,baseline,262144,4096,1x32,67.265,0.059467,89.78,99.87,228,26.00,
stride,baseline,262144,8192,1x32,67.019,0.059685,50.64,99.94,2068,25.77,
