benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,524288,16,1x32,167.596,0.023867,80.05,50.00,16484,69.60,
stride,baseline,524288,32,1x32,227.717,0.017566,88.79,0.00,16564,77.61,
stride,baseline,524288,64,1x32,228.479,0.017507,88.53,0.00,18552,77.82,
stride,baseline,524288,128,1x32,208.445,0.019190,89.39,0.00,8296,75.79,
stride,baseline,524288,256,1x32,198.578,0.020143,93.90,0.00,4196,74.67,
stride,baseline,524288,512,1x32,74.301,0.053835,9.00,97.95,2144,32.38,
stride,baseline,524288,1024,1x32,70.537,0.056708,58.66,98.98,1124,29.14,
stride,baseline,524288,2048,1x32,68.661,0.058257,80.65,99.49,616,27.35,
stride,baseline,524288,4096,1x32,67.711,0.059075,61.97,99.74,356,26.45,
stride,baseline,524288,8192,1x32,67.252,0.059478,51.96,99.87,228,26.01,
stride,baseline,1048576,16,1x32,188.699,0.021198,70.21,50.00,25100,72.78,
stride,baseline,1048576,32,1x32,267.256,0.014967,79.27,0.00,32868,80.62,
stride,baseline,1048576,64,1x32,268.575,0.014893,79.24,0.00,32868,80.93,
stride,baseline,1048576,128,1x32,228.422,0.017511,77.70,0.00,16484,77.73,
stride,baseline,1048576,256,1x32,208.658,0.019170,88.24,0.00,8292,75.74,
stride,baseline,1048576,512,1x32,198.840,0.020117,93.92,0.00,4196,74.70,
stride,baseline,1048576,1024,1x32,74.240,0.053879,17.56,97.95,2148,32.38,
stride,baseline,1048576,2048,1x32,70.541,0.056704,37.58,98.98,1124,29.07,
stride,baseline,1048576,4096,1x32,68.653,0.058264,27.01,99.49,612,27.36,
stride,baseline,1048576,8192,1x32,67.744,0.059046,39.40,99.74,356,26.47,
stride,baseline,4194304,16,1x32,188.686,0.021199,70.22,50.00,25100,72.82,
stride,baseline,4194304,32,1x32,308.634,0.012960,70.42,0.00,50104,83.06,
stride,baseline,4194304,64,1x32,432.665,0.009245,50.95,0.00,100100,87.91,
stride,baseline,4194304,128,1x32,347.804,0.011501,27.08,0.00,65636,84.94,
stride,baseline,4194304,256,1x32,268.026,0.014924,58.55,0.00,32868,80.64,
stride,baseline,4194304,512,1x32,228.766,0.017485,77.78,0.00,16484,77.64,
stride,baseline,4194304,1024,1x32,208.617,0.019174,88.30,0.00,8300,75.75,
stride,baseline,4194304,2048,1x32,198.603,0.020141,94.04,0.00,4196,74.69,
stride,baseline,4194304,4096,1x32,74.215,0.053897,9.26,97.95,2148,32.32,
stride,baseline,4194304,8192,1x32,70.537,0.056708,16.09,98.98,1124,29.09,
stride,baseline,16777216,16,1x32,188.641,0.021204,72.46,50.00,25104,72.81,
stride,baseline,16777216,32,1x32,308.605,0.012962,70.42,0.00,50104,83.05,
stride,baseline,16777216,64,1x32,432.673,0.009245,51.33,0.00,100100,87.91,
stride,baseline,16777216,128,1x32,431.440,0.009271,1.53,0.00,100100,87.73,
stride,baseline,16777216,256,1x32,431.010,0.009281,6.56,0.00,102008,87.51,
stride,baseline,16777216,512,1x32,348.516,0.011477,27.22,0.00,65636,84.70,
stride,baseline,16777216,1024,1x32,268.489,0.014898,58.46,0.00,32868,80.59,
stride,baseline,16777216,2048,1x32,228.409,0.017512,77.71,0.00,16484,77.56,
stride,baseline,16777216,4096,1x32,208.277,0.019205,88.34,0.00,8292,75.74,
stride,baseline,16777216,8192,1x32,198.603,0.020141,94.55,0.00,4200,74.69,
stride,baseline,67108864,16,1x32,188.682,0.021200,70.21,50.00,25112,72.81,
stride,baseline,67108864,32,1x32,308.666,0.012959,70.42,0.00,50108,83.06,
stride,baseline,67108864,64,1x32,432.660,0.009245,52.25,0.00,100116,87.90,
stride,baseline,67108864,128,1x32,431.510,0.009270,2.26,0.00,100108,87.73,
stride,baseline,67108864,256,1x32,431.006,0.009281,2.52,0.00,100104,87.52,
stride,baseline,67108864,512,1x32,432.337,0.009252,1.53,0.00,100112,87.48,
stride,baseline,67108864,1024,1x32,432.079,0.009258,3.48,0.00,100116,87.44,
stride,baseline,67108864,2048,1x32,347.718,0.011504,34.79,0.00,67612,84.57,
stride,baseline,67108864,4096,1x32,267.272,0.014966,58.79,0.00,32884,80.55,
stride,baseline,67108864,8192,1x32,228.819,0.017481,77.28,0.00,16500,77.57,
stride,baseline,268435456,16,1x32,188.711,0.021196,70.87,50.00,25112,72.80,
stride,baseline,268435456,32,1x32,308.699,0.012958,71.39,0.00,50112,83.05,
stride,baseline,268435456,64,1x32,432.644,0.009245,53.32,0.00,100564,87.90,
stride,baseline,268435456,128,1x32,431.432,0.009271,2.77,0.00,100304,87.73,
stride,baseline,268435456,256,1x32,431.014,0.009280,2.90,0.00,100112,87.52,
stride,baseline,268435456,512,1x32,432.320,0.009252,2.72,0.00,100108,87.48,
stride,baseline,268435456,1024,1x32,431.968,0.009260,5.56,0.00,100128,87.44,
stride,baseline,268435456,2048,1x32,431.489,0.009270,1.37,0.00,100128,87.33,
stride,baseline,268435456,4096,1x32,428.810,0.009328,24.92,0.00,101696,87.40,
stride,baseline,268435456,8192,1x32,349.377,0.011449,30.81,0.00,65708,84.60,
