benchmark,variant,workset_bytes,stride_bytes,blocks_x_threads,hot_frac,hot_prob,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
gather,baseline,65536,0,1x32,1.0,0.9,110.498,0.072400,70.07,91.70,8396,64.33,indices_len=iters
gather,baseline,131072,0,1x32,1.0,0.9,122.069,0.065537,71.24,89.10,10448,67.51,indices_len=iters
gather,baseline,262144,0,1x32,1.0,0.9,209.932,0.038108,88.33,57.13,14544,81.19,indices_len=iters
gather,baseline,524288,0,1x32,1.0,0.9,249.754,0.032032,86.54,48.90,22700,84.06,indices_len=iters
gather,baseline,1048576,0,1x32,1.0,0.9,292.839,0.027319,77.32,45.93,37556,86.23,indices_len=iters
gather,baseline,2097152,0,1x32,1.0,0.9,344.732,0.023206,63.97,44.72,57668,88.13,indices_len=iters
gather,baseline,4194304,0,1x32,1.0,0.9,391.012,0.020460,46.59,44.18,76320,89.43,indices_len=iters
gather,baseline,8388608,0,1x32,1.0,0.9,423.862,0.018874,31.69,43.97,89568,90.18,indices_len=iters
gather,baseline,16777216,0,1x32,1.0,0.9,443.298,0.018047,24.72,43.84,97400,90.58,indices_len=iters
gather,baseline,33554432,0,1x32,1.0,0.9,454.275,0.017610,15.41,43.80,102648,90.79,indices_len=iters
gather,baseline,67108864,0,1x32,1.0,0.9,463.335,0.017266,12.61,43.77,104124,90.98,indices_len=iters
gather,baseline,134217728,0,1x32,1.0,0.9,468.095,0.017091,9.68,43.76,105320,91.05,indices_len=iters
gather,baseline,268435456,0,1x32,1.0,0.9,469.574,0.017037,9.93,43.76,105888,91.10,indices_len=iters
gather,baseline,65536,0,1x32,0.1,0.9,110.227,0.072577,71.17,91.84,10300,64.19,indices_len=iters
gather,baseline,131072,0,1x32,0.1,0.9,118.505,0.067507,69.57,90.22,10132,66.55,indices_len=iters
gather,baseline,262144,0,1x32,0.1,0.9,127.238,0.062874,65.86,88.90,12428,68.69,indices_len=iters
gather,baseline,524288,0,1x32,0.1,0.9,136.131,0.058767,57.33,87.64,14792,70.63,indices_len=iters
gather,baseline,1048576,0,1x32,0.1,0.9,155.365,0.051492,63.16,82.25,17428,74.30,indices_len=iters
gather,baseline,2097152,0,1x32,0.1,0.9,223.072,0.035863,77.24,58.49,21340,82.15,indices_len=iters
gather,baseline,4194304,0,1x32,0.1,0.9,261.812,0.030556,76.57,49.48,29624,84.71,indices_len=iters
gather,baseline,8388608,0,1x32,0.1,0.9,299.876,0.026678,71.31,46.14,40620,86.51,indices_len=iters
gather,baseline,16777216,0,1x32,0.1,0.9,346.431,0.023093,62.32,44.78,58448,88.17,indices_len=iters
gather,baseline,33554432,0,1x32,0.1,0.9,391.029,0.020459,48.84,44.20,77168,89.43,indices_len=iters
gather,baseline,67108864,0,1x32,0.1,0.9,423.580,0.018887,31.16,43.96,89256,90.17,indices_len=iters
gather,baseline,134217728,0,1x32,0.1,0.9,443.027,0.018058,21.02,43.87,97196,90.58,indices_len=iters
gather,baseline,268435456,0,1x32,0.1,0.9,454.664,0.017595,15.12,43.80,101672,90.80,indices_len=iters
