benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
dep_stride,stride,4294967296,4096,200000,1x32,410.197,0.009751,0.00,0.00,402468,91.97,
dep_stride,stride,4294967296,8192,200000,1x32,412.305,0.009702,0.00,0.00,402348,91.94,
dep_stride,stride,4294967296,16384,200000,1x32,410.131,0.009753,0.00,0.00,400652,92.03,
dep_stride,stride,4294967296,65536,200000,1x32,250.815,0.015948,48.96,0.00,131984,87.46,
dep_stride,stride,4294967296,262144,200000,1x32,189.462,0.021112,84.86,0.00,34432,83.97,
dep_stride,stride,4294967296,1048576,200000,1x32,191.309,0.020909,85.46,0.00,31440,84.12,
