benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
dep_stride,stride,17179869184,4096,1000000,1x32,410.229,0.009751,0.00,0.00,2022664,91.97,
dep_stride,stride,17179869184,8192,1000000,1x32,412.220,0.009704,0.00,0.00,2025364,91.94,
dep_stride,stride,17179869184,16384,1000000,1x32,409.973,0.009757,0.00,0.00,2027108,92.03,
dep_stride,stride,17179869184,32768,1000000,1x32,404.314,0.009893,0.00,0.00,1934680,91.92,
dep_stride,stride,17179869184,65536,1000000,1x32,378.053,0.010581,2.79,0.00,1291560,90.69,
dep_stride,stride,17179869184,131072,1000000,1x32,244.576,0.016355,38.63,0.00,409412,87.22,
dep_stride,stride,17179869184,262144,1000000,1x32,187.523,0.021331,84.54,0.00,131540,83.84,
dep_stride,stride,17179869184,1048576,1000000,1x32,188.095,0.021266,87.70,0.00,131884,83.89,
dep_stride,stride,17179869184,4194304,1000000,1x32,191.599,0.020877,87.70,0.00,132356,84.19,
