benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
explicit,baseline,68719476736,128,1000000,1x32,431.469,0.009271,0.00,0.00,2053236,87.74,
explicit,prefetch_l2,68719476736,128,1000000,1x32,275.151,0.014537,33.34,0.00,4032600,70.54,
explicit,cp_async,68719476736,128,1000000,1x32,117.021,0.034182,0.00,0.00,2013308,32.26,
explicit,baseline,68719476736,8192,1000000,1x32,433.533,0.009227,0.00,0.00,2027812,87.37,
explicit,prefetch_l2,68719476736,8192,1000000,1x32,275.360,0.014526,33.33,0.00,4030376,70.56,
explicit,cp_async,68719476736,8192,1000000,1x32,125.516,0.031869,0.00,0.00,2013864,37.84,
explicit,baseline,68719476736,65536,1000000,1x32,432.839,0.009241,0.00,0.00,2040908,87.44,
explicit,prefetch_l2,68719476736,65536,1000000,1x32,275.248,0.014532,33.33,0.00,4031252,70.55,
explicit,cp_async,68719476736,65536,1000000,1x32,124.000,0.032258,0.00,0.00,2025472,37.51,
explicit,baseline,68719476736,1048576,65535,1x32,439.257,0.009106,0.00,0.00,147572,88.01,
explicit,prefetch_l2,68719476736,1048576,65527,1x32,275.425,0.014523,33.33,0.00,278632,70.55,
explicit,cp_async,68719476736,1048576,65531,1x32,131.507,0.030417,0.00,0.00,148108,43.96,
