benchmark,variant,workset_bytes,stride_bytes,iters,blocks_x_threads,time_ns_per_iter,bandwidth_gbs,l2_hit_pct,l1_hit_pct,dram_read_sectors,stall_long_scoreboard_pct,note
stride,baseline,68719476736,64,1000000,1x32,432.594,0.009247,0.00,0.00,2027384,87.91,
stride,baseline,68719476736,128,1000000,1x32,431.496,0.009270,0.00,0.00,2047900,87.74,
stride,baseline,68719476736,256,1000000,1x32,430.829,0.009284,0.00,0.00,2042820,87.51,
stride,baseline,68719476736,512,1000000,1x32,432.312,0.009253,0.00,0.00,2040448,87.49,
stride,baseline,68719476736,1024,1000000,1x32,431.746,0.009265,0.00,0.00,2027712,87.44,
stride,baseline,68719476736,2048,1000000,1x32,431.694,0.009266,0.00,0.00,2028292,87.34,
stride,baseline,68719476736,4096,1000000,1x32,428.584,0.009333,0.00,0.00,2029172,87.40,
stride,baseline,68719476736,6144,1000000,1x32,432.498,0.009249,0.00,0.00,2036272,87.40,
stride,baseline,68719476736,8192,1000000,1x32,433.543,0.009226,0.00,0.00,2038332,87.37,
stride,baseline,68719476736,10240,1000000,1x32,432.003,0.009259,0.00,0.00,2031564,87.40,
stride,baseline,68719476736,12288,1000000,1x32,430.494,0.009292,0.00,0.00,2027064,87.41,
stride,baseline,68719476736,16384,1000000,1x32,428.321,0.009339,0.00,0.00,2028152,87.49,
stride,baseline,68719476736,24576,1000000,1x32,432.120,0.009257,0.00,0.00,2030420,87.41,
stride,baseline,68719476736,32768,1000000,1x32,432.192,0.009255,0.00,0.00,2040400,87.45,
stride,baseline,68719476736,49152,1000000,1x32,431.543,0.009269,0.00,0.00,2039652,87.44,
stride,baseline,68719476736,65536,1000000,1x32,432.511,0.009248,0.00,0.00,2041648,87.45,
stride,baseline,68719476736,98304,699050,1x32,432.462,0.009249,0.00,0.00,1431732,87.46,
stride,baseline,68719476736,131072,524287,1x32,431.326,0.009274,0.00,0.00,1075388,87.47,
stride,baseline,68719476736,196608,349525,1x32,433.485,0.009228,0.00,0.00,722292,87.55,
stride,baseline,68719476736,262144,262143,1x32,433.557,0.009226,0.00,0.00,543784,87.56,
stride,baseline,68719476736,393216,174762,1x32,434.917,0.009197,0.00,0.00,367176,87.64,
stride,baseline,68719476736,524288,131071,1x32,435.528,0.009184,0.00,0.00,279020,87.70,
stride,baseline,68719476736,786432,87381,1x32,438.098,0.009130,0.00,0.00,191368,87.84,
stride,baseline,68719476736,1048576,65535,1x32,439.325,0.009105,0.00,0.00,147668,88.01,
stride,baseline,68719476736,2097152,32767,1x32,452.195,0.008846,0.00,0.00,82056,88.55,
stride,baseline,68719476736,4194304,16383,1x32,453.615,0.008818,0.00,0.00,49260,89.30,
stride,baseline,262144,128,65534,1x32,203.781,0.019629,88.23,0.00,8284,75.33,boundary_sweep
stride,baseline,1048576,128,262142,1x32,203.668,0.019640,88.24,0.00,32860,75.30,boundary_sweep
stride,baseline,4194304,128,1000000,1x32,204.243,0.019584,87.70,0.00,131556,75.40,boundary_sweep
stride,baseline,16777216,128,1000000,1x32,220.162,0.018168,76.82,0.00,264340,77.02,boundary_sweep
stride,baseline,67108864,128,1000000,1x32,431.470,0.009271,0.00,0.00,2045124,87.74,boundary_sweep
stride,baseline,268435456,128,1000000,1x32,431.476,0.009270,0.00,0.00,2041356,87.74,boundary_sweep
stride,baseline,1073741824,128,1000000,1x32,431.445,0.009271,0.00,0.00,2043016,87.74,boundary_sweep
stride,baseline,4294967296,128,1000000,1x32,431.468,0.009271,0.00,0.00,2042408,87.74,boundary_sweep
stride,baseline,17179869184,128,1000000,1x32,431.472,0.009271,0.00,0.00,2050908,87.74,boundary_sweep
stride,baseline,68719476736,128,1000000,1x32,431.535,0.009269,0.00,0.00,2037896,87.74,boundary_sweep
stride,baseline,262144,8192,65534,1x32,97.650,0.040963,33.33,87.50,8284,47.55,boundary_sweep
stride,baseline,1048576,8192,262142,1x32,97.273,0.041121,33.33,87.50,36012,47.51,boundary_sweep
stride,baseline,4194304,8192,1000000,1x32,97.432,0.041054,33.15,87.46,126044,47.60,boundary_sweep
stride,baseline,16777216,8192,1000000,1x32,203.996,0.019608,88.06,0.00,129260,75.27,boundary_sweep
stride,baseline,67108864,8192,1000000,1x32,204.597,0.019551,87.70,0.00,132396,75.33,boundary_sweep
stride,baseline,268435456,8192,1000000,1x32,204.564,0.019554,87.70,0.00,131908,75.33,boundary_sweep
stride,baseline,1073741824,8192,1000000,1x32,262.414,0.015243,39.53,0.00,396908,80.20,boundary_sweep
stride,baseline,4294967296,8192,1000000,1x32,425.162,0.009408,0.00,0.00,1932288,87.15,boundary_sweep
stride,baseline,17179869184,8192,1000000,1x32,433.573,0.009226,0.00,0.00,2027808,87.37,boundary_sweep
stride,baseline,68719476736,8192,1000000,1x32,433.533,0.009227,0.00,0.00,2027112,87.37,boundary_sweep
